Original;Conceptos
onnot;
mads;
obscure;unnoticeable,bedim,vague,hidden,isolated,obscurity,faint,darken,incomprehensible
resevoir;
king;baron,Riley-B-King,Billie-Jean-Moffitt-King,ruler,queen,male,monarch,royalty,emperor,ace
careen;stagger,rock,heel,lean,tilt,repair,water-line,sway
joanne;
bulk;bulge,majority,in-bulk,expand,grow,volume,bulk-up
quasicaptain;
scriptwriting;film,television,script,scriptwriter
notmany;
intolerably;unacceptably,endurance,intolerable
allthough;
jesus;Jesus-of-Nazareth,son-of-david,christian,blasphemous,isa,prophet,christ,bahá-u'lláh,allah
sure;for-certain,certain-p-,trusted,certain,indisputable,secure,of-course,certain,doubt,careful,true,steady,secure
aptly;competently,appropriately,apt
roast;roasted,ridicule,knock,chargrill,roasties,admonish,fraternal,exposure,bake
suspectlooking;
anorexic;anorectic,anorectic,thin,anorexia-nervosa,anorexia-nervosa,skinny,anorexia
lumet;
heartstirring;
diamond;rhombus,ball-field,baseball-diamond,gem,pearl,brilliant
hurray;cheer
horatio;horace
faerie;fairy,fairyland,fays,fairy,fairyland
subconsciously;awareness,conscious
spec;specification,australian-rules-football,specify,spectacular-mark
kerry;breed,animal,kerri,republic-of-ireland
haze;daze,percent,turbidity,harass,oppress
static;unchanging,electrostatic,motionless,disturbance,random,atmospheric,obstruction
automation;automaton,automatic,automatize,automatization
sexappeal;
buyerbut;
stunner;smasher,stunning,hyperbolically,professional-wrestling
imbroglio;entanglement,situation,complicated
penitentiary;penitential,punishment,punitive,carceral
thomas;Dylan-Marlais-Thomas,Seth-Thomas,Lowell-Jackson-Thomas,Thomas-the-doubting-Apostle,Norman-Mattoon-Thomas,mccombie,biblical,tonks,tomkin,tomalin
consequently;consequentiality,result,consequentness
dirty;shoddy,muddied,unsportsmanlike,indecent,untidy,dishonor,feculent,unwashed,sooty,dirty-minded,unswept
corman;
outerspace;
cabin;cell,house,boat,lodge,cottage
confession;confess,confessional,formal,sacrament-of-reconciliation
firsta;
navythey;
unrevealing;revealing
grinch;grouch,grinch,christmas,grouch,killjoy,scrooge
aqua;greenish-blue,aquamarine,turquoise,colour,aquatic,green,blue
ferox;
sht;
crowd;herd,push,audience,people,group,gathering,many-people,mob,audience
wither;shrivel,fade,counter,dry-up,droop,contrary,water
drag;haul,scuff,puff,dredge,puff,costume,skid,kick,surface,flap
hersimilarly;
necrophilia;intercourse,necropolis,necrosis,necrotize
timeseven;
spate;rush,freshet,batch,inundation,overflow,flood
kidsfamily;
emotionalsexual;
payback;vengeance,just-deserts,revenge,recompense,reward,pay-back
tearjerker;cryfest,charged,cry,song,film,sad
horridly;hideously,horrid
operation;mathematical-process,process,procedure,surgery,game,hospital,medical
jo;jo,joanna,sweetheart,darling,jolene,diminutive
barrett;anglo-norman
parliamentary;legislative,supreme,train,cabinet,democratic
toe;foot,finger,feet,on-foot,tiptoe,finger
morton;Ferdinand-Joseph-La-Menthe-Morton,morton,usa,moreton,cochran-county,county-seat
falseness;faithlessness,falsity,insincerity,false
fashionable;stylish,in-fashion,trend,style,genteel,fop,voguish,cool,a-la-mode,groovy,faddish
unnecessary;superfluous,inessential,need,uncalled-for,inessential,supererogatory,spare
persist;prevail,persevere,last,exist
evrybody;
thisyawn;
andrewslynn;
glow;burn,gleam,freshness,incandescence,radiance
niche;recess,recess,specialty,ecological,organism,ornament,wall
triesbut;
catchy;attention-getting,appealing,changeable,snatch,memorable,difficult
glaser;Donald-Arthur-Glaser
calculator;ready-reckoner,adding-machine,electronic-calculator,table,electronic,perform,calculation,device
soundwise;aurally,audibly,sound,vocally
winona;texas,mississippi,county-seat
firetrapstinky;
le;lupus-erythematosus,ative,tend,capable
triangle;Triangulum,three,shape,three-sides,sides,threeside
comfortablebut;
ardh;
royale;custard,consommé
fabric;framework,workmanship,diagram,building,node
sugarcoat;whitewash,gild,gild-pill
masturbate;jack-off,play-with-oneself,sexually,stimulate,sex-toy,please
houston;Samuel-Houston,texas,missouri,usa,county-seat
insipid;tasteless,flavourless,dull,insipient,character,unappetizingly,definition,uninteresting
sampsons;
anecdote;humorous,short,account,incident
likeable;sympathetic,liked,congenial
gotham;nyc,new-york-city,big-apple,folklore,new-york-city,england,nickname
anywhere;anyplace,unknown,location,to,at,somewhere
mukhsins;
passivity;passiveness,passion,passionate,passive,submissiveness
invent;discover,fabricate,inventory,invented,reinvent,invention
trotta;
himselfits;
whatsoeverthe;
habit;substance-abuse,riding-habit,addiction,action,nuns,routine,smoking,alb
solitudeness;
curealls;
clara;clare
pulse;pulsation,pulsate,throb,meter,legume,impulse
sculpt;sculpture,sculptor
subkiddie;
banalnot;
filmgertrude;
fanfare;flourish,ostentation,show,imitate,celebration,dramatize,horns
analyze;element,analysis,resolve,separate,fossil
warsthe;
along;forward,onward,onward
halfnaked;
constable;John-Constable,castle,middle-ages,writ,warden
moralist;martinet,moral,censorship
bonehead;dunce,stupid,stubborn,thick-skulled
mystiquegary;
friendship;friendly,friend,mateship,unfriendly,friending
unbroken;unplowed,complete,sound,uninjured,perfect,undamaged,continuous,solid,wild,uninterrupted
loneliness;forlornness,aloneness,dreariness,forlornness,companion,devoid
molester;molest,agent-noun
navuoo;
weekly;hebdomadal,hebdomadally,publication,week,periodic
toto;
filmoh;
deliver;surrender,give-birth,rescue,hand-over,extradite,bring,pizza,mail,service,give,furnish,procure
miliuss;
rigg;
context;setting,passage,environment,ascertain
factorsthere;
pronounce;sound,articulate,formally,declare
caraxs;
fragility;fragile,weakness,frangibility,brittleness
bandy;bandy-legged,cart,exchange,bullock,bandy-legged
tambor;
extremelly;
nothe;
utah;salt-lake-city,canyon,gorges,utah
buildingmilious;
employment;use,employ,employ,employee,job,employing,work
kaif;
overi;
jurgens;
imply;incriminate,entail,implicate,implication,implicit,inference,suggest
convention;conventionality,meeting,convener,interaction
region;domain,area,area,considerable,regional,reference,regionic
gallipolli;
shill;shillaber,endorse,sheep-dip,promote,payment,sheal
fistfight;duke-it-out,bare,start,fight,fight,fist,bare
bay;alcove,true-laurel,bay-laurel,color,bark,tree,mexico,daphne,colored
alienoutlaws;
big;magnanimous,bighearted,boastfully,vainglorious,fully-grown,large,size,huge,significant,participant-in-ageplay-who-acts-out-older-role,loud,heavy,important,senior,voluminous
goose;fathead,gosling,gander,young
wonderland;wonder,real,imaginary,marvel
colorist;colorist,artist,talent,coloring,colors,hairdresser
ap;armour-piercing,pacific,reuters,he,at
speedo;race-car,speedometer,brief,bikini,swimsuit
offensive;violative,nauseating,offense,unsavory,evil,harmful,disrespectful,hateful,aggressive,marauding,detestable,assaultive,creepy,scrimy
corn;maize,corn-whiskey,yellow,vegetable,cob,food,crop
idaho;potato,boise
hugo;Victor-Marie-Hugo,hugo,county-seat,colorado,oklahoma,hugh,lincoln-county
carstone;
skimp;scrimp,scant,stint,scanty,mock,stingy,skimpily,insufficient
strongly;powerfully,strong
hackman;hack
halfpints;
freighter;bottom,cargo-ship,cargo-plane,cargo-ship,vessel,freight
availablethe;
struggle;fight,clamber,fight,escape,strive
resultsthe;
dismiss;fire,dissolve,reject,dispel,send-someone-packing,brush-off,send-someone-to-showers
amnesia;amnestic,amnesty,forgetfulness,loss
artits;
pastthis;
spy;descry,sight,country,explore,spyware,catch,search,secret-agent
mainstay;anchor,pillar,depend,chief,support,contribution
litterally;
animalistic;savage,animal,untamed
sexy;aphrodisiac,exciting,seductive,sexy-prime,arouse,toothsome,titillating,autoerotic,lascivious,provocative
hillybilly;
houretc;
prisoner;jail,person,trial,incarcerate,inmate
pharohs;
radiation;radiation-sickness,radiotherapy,convection,energy,conduction
cozumel;yucatán,caribbean-sea
hasnt;
starr;Richard-Starkey,receipt,ohio,starr-county,debt
mannered;excessive,well-mannered,manner,mannerism,ill-mannered,affected
dassin;
stuffy;stodgy,airless,sulky,uninteresting,stuffed-shirt,pompous,angry,obstructed
stuckup;
kollos;
ballshonestly;
embarrassmentthose;
thespian;actor,player,dramatic,actor,acting,theatrical
dad;father,parent,male,mom,man,mom
tothe;
kick;gripe,complain,bang,recoil,kick-back,action,foot,karate,strike
youvegottobekidding;
blaise;
pinata;birthday,decorate,stick,hammer,doll
geri;geraldine,diminutive,given-name
amputee;amputate,limb,amputation
historically;historic,history,unprecedented,rare,historical
worseand;
lloydd;
inno;
insipidly;insipid
cardale;
institution;initiation,mental-hospital,establishment,instituting,society,particularly,institutional,institutionalism
selfreferential;
madman;lunatic,insane,madwoman,crazy,crazy-person
overdo;overcook,exhaust,cook,surpass,overtax
buck;tear,sawhorse,dollar,Pearl-Sydenstricker-Buck,vaulting-horse,windmill,scapegoat
england;constituent-country,united-kingdom,scotland,wales,great-britain
polish;wax,class,hone,shine,shiny,shoes,shoe,shining
maze;tangle,labyrinth,puzzle,puzzle,complicated,confuse
extension;annex,reference,propagation,elongation,extent,extend,morpheme,argument
ooout;
gray;Gy,grey,gray-haired,grayish,hair,beard,derived-unit,joule,southern
aghnaistan;
guardian;defender,protect,minor,incompetent,legally,watch-over
income;courage,oncome,inspiration,fund
pause;hesitate,stop,dvd,play
devious;circuitous,deviate,honest,standard,straightforward,untrustworthy,indirect
narrative;recitation,narrator,garrulous,story,communicative
beach;sand,england,run-aground,seashore
dudley;borough,england,west-midlands
isif;
marni;
inexplicable;insoluble,incomprehensible,explain,accounted,impossible,unaccountable,paradoxical,unexplained,inscrutable
duchovnydr;
bitthis;
religulousmaybe;
programme;program,program,plan,program,program,computer,show,tv,tv-show,computer-code
maggot;grub,mawk,mawkish,larva,decompose,dipterous
weak;feeble,faint,unaccented,decrepit,powerless,delicate,tender,nuclear,cation,jerry-built,feeble,puny,vulnerable,debilitated
cdtom;
guntoting;
handgun;pistol,gun,barrel
trustedthis;
tapesthe;
yourselfbut;
lah;la,reassurance,emphasis
differentlyunlike;
itsave;
submerge;inundate,immerse,immerse,plunge,liquid,put
stupidits;
vardon;
syringe;needle,hypodermic-needle,piston,hypodermic-syringe,intravenous,draw
workplace;work,place
badnot;
erratic;quicksilver,planetary,odd,rock,unsteady,unreliable
pi;protease-inhibitor,principal-investigator,private-detective,diameter,circumference,pica-stick
predatoralien;
leone;cent,sierra-leone
guild;club,group,habit,diverse,multiplayer,artisan
elusive;problematical,subtle,elude,remembrance,capture,precise,seen,unidentifiable,artful
fume;fumigate,reek,smoke,anger,vapour
wrestlemania;
heartland;geographical,criteria
waythe;
salve;ointment,salvage,soothe,balm,ointment
amir;emir,amira
uhhuh;
stiffed;stiff
filmperhaps;
enjoyedim;
walz;
appallingi;
hero;champion,Hero-of-Alexandria,bomber,heroine,hero-sandwich,player,suicide,deed
darius;daria,achaemenid,persia
jostle;acquire,vie,close,shove
madonna;Madonna-Louise-Ciccone,Blessed-Virgin,madonna,madonna,virgin-mary,jesus,madonna-lily
weaponit;
toobut;
spanishspeakers;
anand;india,khukhrain,punjabi,surname,gujarat
farcical;ludicrous,farce,absurd,ludicrous
raptor;bird-of-prey,bird-of-prey,raptor,raptor,dromaeosaur,carnivorous,hind-leg,claw,dinosaur
dimwitted;
moviesteer;
aspectsdirection;
roomdan;
gertrude;
firstyear;
blaster;hand,beam,weapon,explosive,detonate,death-ray
irrelevantin;
rle;
beenits;
sleazier;
synthjazz;
punchline;
drab;dreary,olive-drab,disconsolate,sombre,olive-drab,cotton,box,wool,slattern
unexplainedly;explanation
restless;ungratified,antsy,uneasy,still,quiet,discontented,rest,moving,anxious,nervous,irritated,impatient
hum;busyness,Harkat-ul-Mujahidin,humblebee,tune,humbug,istria
stakeholder;interpleader,interest,stake,garnishee,pot
slapdash;slam-bang,haphazard,careless,directly,hastily,hasty
okazaki;
miyagis;
friendsand;
minimalistic;minimalism
problematic;problematical,problematical,problem,difficulty,no-problem,questionable,questionable
alba;alba,part,dawn,rose,provençal,poetry
spine;spur,backbone,pelvis,head,ridge
turkeydont;
batman;bat,kg,batty-man,equipment
unoutstanding;
darr;european,black-tern
donaggios;
country;nation,state,area,nation,land,states,state,usa
ustinov;Peter-Alexander-Ustinov
throat;neck,fauces,gathering,gullet,shank
reallywho;
flyer;aviator,flier,circular,aviator,advertisement,pamphlet,leaflet,leap,base
obscene;salacious,detestable,corrupt,reason,lustful,beyond,offensive,indecent
dwindle;fall-away,degenerate,diminish,break-up
itgetsno;
piper;gurnard,pigeon,musician,opercular
risky;hazardous,high-risk,risk,risque,riskily,riskiness,dangerous,perilous
loudly;obstreperously,high,volume,loud
womenthe;
bakewell;england,market-town,derbyshire,bakewell-tart
ignoredthis;
lookout;vigil,surveillance,vantage-point
fact;truth,true,data,information,factotum
putoff;
armistead;
pencil;writing,shaft,write,medicated
everyones;
alsoneil;
vasluianu;
underused;normal,desirable,used
gungho;
trial;test,court,jury,test,opportunity
pile;atomic-pile,down,batch,throng,voltaic-pile,spear,pier,timber,underfur,nap,heap
bardem;
whiffle;whizz,blow,disperse,gust,blow
sweetly;pleasant,sweet
laceration;lacerate,wound
gerald;geraldine,usa,gerry,missouri
pique;silk,durable,irritation
melinda;melinda,melinda,mindy,lindy,mendy
characterstheir;
zbignew;
otherrelax;
vengeful;revengeful,avenge,vindictive
hansen;idaho,wisconsin
verbose;long-winded,output,diagnostic
udita;
nightmarish;bloodcurdling,nightmarey,nightmare
furnace;exhale,space-heater,heat,heat
constraint;restraint,constrain,constrict,optimization-problem,compulsion,restriction
hairdo;haircut,haircut,hairstyle
fingertip;deflect,finger,tiptoe
madei;
atmos;
jaruselski;
preteen;preadolescent,children,child
turkey;joker,malingerer,failure,neck,country
nudge;near,close,push,suggestion,feature
psychiotric;
chen;chen,tan,trần,chan,chinese
enervate;faze,energy
dogme;filmmaking,simplicity,hand-held,camera,movement
leigh;Vivien-Leigh,surrey,dorset,wigan,england
since;
extreme;uttermost,extreme-point,far,excessive,condition,range,hazardous,immoderate,distant
headless;brainless,monitor,morpheme,decapitate,acephalous,decapitated
shrek;shrek,shrek,ugly
trilogy;polylogy,tetralogy,octalogy,hexalogy,dilogy
alive;animated,alert,active,alive-p-,swarming,existent,living,sensitive,active,lively
establishment;constitution,institution,administration,establish,status-quo,settlement,established,ordain
australian;Aussie,australianism,country,austral,australia,australian-english
shall;will,shan't,shalt,should,will
attentionseeking;
unwilling;disinclined,defiant,involuntary,reluctant,loath,involuntary,grudging
bruce;Robert-the-Bruce,Sir-David-Bruce,bruce,surname
talentless;talent
desire;hope,want,wanting,lust
entertainmentthese;
ocean;sea,water,pacific,big,body
complaisance;amiable,agreeable,complaisant
drawnout;
teamaking;tea
mercedes;mercedes-benz,mercedes-benz,car
filmsafety;
audienceid;
eminent;towering,outstanding,distinguished,important,remarkable,great,superior,accomplished
deliverance;rescue,childbirth,convey,extrication,deliver
jing;井,body,经,經,dense
methodfatboy;
obliviously;oblivious
gamerss;
sheila;sheila,shayla,muslim,headscarf,woman,bloke,niqab
fruitful;productive,fertile,vegetation,fertile,dark-fruited,prolific,reproductive,red-fruited,blue-fruited
mason;George-Mason,Alfred-Edward-Woodley-Mason,Freemason,James-Neville-Mason,freemason,stonework,michigan
sensibilitiesthis;
forgivenhand;
gallo;gaulish,france,romance,language,gaul
inez;martin-county,county-seat,victoria-county,holt-county,west-virginia
matchup;match-up,pairing,competition
unholy;diabolical,sinful,impure,terrible,holy,atrocious,unconsecrated
long;hanker,foresightful,retentive,length,appropriate,province,tall,baseline,long-lasting,tall,bimestrial,abundant,long-snouted
cameron;missouri,highland,new-york,clan,wisconsin
traditionally;beginning,traditional
gild;club,guild,gold-leaf,adorn,appear,cover,gold
attraction;drawing-card,attract,king,enemy,sacrifice
uncharacteristic;atypical,unusual,characteristic
poof;horse's-hoof,poofta
rolaidsas;
unrelenting;unappeasable,relentless,gentle,pity,lenient,merciful,intense,continual
particular;particular-proposition,detail,finical,exceptional,minute,case,generals,universal,specific,careful,primary
michal;saul,david,old-testament
lunchthe;
harm;damage,damage,injury,hurt,detriment,misfortune,nuisance,injure,hurt
upward;upwards,upwardly,up,ascending,up
priesner;
nakadeibut;
incessantly;ceaselessly,ceaselessly,incessant,annoyance,stop,pause,cease
stocky;heavyset,compact,heavy,sturdy,built
chvez;
debenture;unsecured-bond,issuer,indebtedness,credit,collateral
brunette;brunet,brunet,brunet,brunet
winkler;manitoba
describe;trace,report,identify,explain,tell,description,about,descriptivist
szwarc;
possess;own,own,have,ownership,owning,mind
neednt;
buxom;full-bosomed,zaftig,happy,voluptuous,good,temper
eckhart;Johannes-Eckhart
hardly;scarcely,barely,scarcely,adverb,barely,severely,few,barely,scarcely
assetscage;
trailer;preview,dawdler,preview,home,hitch,projector,caravan,preview
horrific;outrageous,frightening,horror,horrible,horrifical,horrendous
hisstill;
traveler;traveler
somethinglordi;
mcbeal;
counselor;advocate,diplomat,supervisor,counsel,attorney,health
arab;Arabian,Arabian,breed,semitic,arabia,arabic
stphanois;
fryso;
thingthe;
drip;dribble,uninteresting,program,wet,leak,dividend
south;in-the-south,Confederacy,southern,southward,corridor,south-central,southernmost,southeasterly,southeastward,southwestward
million;millions,mega,thousand,trillion,billion,cardinal
miss;neglect,girl,Mississippi,woman,hit,unmarried,young,female
roommate;housemate,sharemate,university,flatmate
dutton;
unasco;
scariest;
gossip;chitchat,chew-the-fat,dish-the-dirt,talk,spread,private
fontaines;
ransomthe;
naturally;by-nature,absolutely,natural,nature,inherently,surely
surprisingly;astonishingly,unexpected,unusual,surprise
mitigate;alleviate,extenuate,mitigated,downplay,mitigation,ameliorate
kristy;diminutive,christie,christina
fanfanpropelled;
perry;Oliver-Hazard-Perry,Matthew-Calbraith-Perry,Ralph-Barton-Perry,usa,pear,illinois,iowa,ohio
millennium;yearthousand,kiloyear,year,period,utopia
spotlight;limelight,foreground,shed,lamp,attention,followspot,searchlight
selfrespecting;
dramatize;embroider,theatre,adapt,radio,television
inert;indifferent,sluggish,readily,element,unable,act,nonmoving
hurt;pain,wounded,injury,distress,suffer,pain,trunnion,cause
antidrug;drugs,drug
placewhat;
vacuous;mindless,content,vacant,vacuity,vacuousness,intelligence,meaningless,empty
thenbudding;
likeso;
sentimentality;mawkishness,sentimental
anticswhich;
vorhaus;
mahoneys;
cap;detonator,crownwork,hood,capital,academic,protective,letter,placements
aunty;aunt
idealize;ideal,regard,conceive,form
caseits;
jest;joke,joke,joke,talk,playful,joke
eyesif;
feather;fledge,arrow,windmill,dog,bevel,cock
matchesthe;
spawn;engender,aquatic,mycelium,plant,bring-forth
beard;byssus,hair,moustache,facial,facial-hair,shellfish
fifthly;in-fifth-place,fifth,fifth
knowitall;
jeff;jeffrey,diminutive,mutt-and-jeff,jeffery,gamble
opus;musical-composition,work,art,music
duh;ah,d-oh,huh
sathoor;
percent;percentage,ppm,percentage,per-mille,hundred
vicariously;by-proxy
ofcquinnwho;
vice;frailty,casement,came,vicious
imaginationjust;
extract;press-out,excerpt,excerpt,educe,infusion,decoction,abstract
sa;vanuatu,australia,sinoauricular,indonesia
pathology;pathological,histology,deviation,laboratory,clinician
padill;
paulie;diminutive,paul,given-name
frederick;south-dakota,oklahoma,colorado,maryland,fred
singapore;city-state,british,island,malay,southeast-asia
passel;batch,quantity,group
surpass;travel-by,exceed,excel,exceed,outstrip
flock;batch,troop,cluster,group,lock,migration,sheep
dart;flit,flit,england,english-channel,dartmouth
dislike;disfavor,mislike,despise,aversion,loathe,antipathy
shakycam;shakiness,camera,on-screen,handheld
amigo;philippines,spanish,friend
deterrent;hindrance,deter,deter,preventive
reminder;admonisher,remind,memory,alarm,note
horrible;horrifying,horrific,horror,shocking,horror,horrendous
clinton;DeWitt-Clinton,William-Jefferson-Clinton,Hilary-Rodham-Clinton,kentucky,new-zealand,county-seat,missouri,tennessee
lookingi;
antihuman;humanity,human,antibody,immunoglobin
franchot;
ample;sizable,plenteous,abundant,sufficient,contracted,generous,wide-cut,full
periscope;peer,periscopic,periscopically
selftitled;
squeal;confess,prolonged,information,snitch
neill;
biangle;
slovenia;appendix:countries-of-world,country,appendix:place-names-in-slovenia,europe,slovene
nezin;
underground;metro,resistance,belowground,metro,underground-railway
smuggler;smuggle,smuggling
garofalo;
mayo;mayonnaise,yukon-territory,republic-of-ireland,usa,lafayette-county,canada
unnamed;unidentified,name
grungy;begrimed,grungelike,dirty,grunge,music,shabby,disrepair
claudio;
graphic;pictorial,computer-graphic,in-writing,game,picture,exsolution,descriptive,explicit
shack;domiciliate,trail,hovel,tramp,live,vagabond
lama;lamasery,tibetan,panchen-lama,dalai-lama,buddhism
kickbox;kickboxing,fight
gravesdirected;
harp;harmonica,keep-on,instrument,angels,stringed,musical,musical-instrument
shouldnt;
sidestories;
chainsaw;chain-saw,cut,saw
plentythere;
machineinstead;
roycesits;
seriesi;
sastre;
interpreter;spokesperson,program,execute,translator,compiler
fame;famous,famous,famed,glory,renown,reputation
elect;chosen,vote,choose,president,voting,choosing,incoming,selected
confusioncertainly;
caesar;Gaius-Julius-Caesar,Sidney-Caesar,czar,cocktail,vodka,kaiser
blaire;
perdicaris;
devagan;
jedi;force,star-wars,jediism,beings,awareness
aksar;
bucur;
uribe;
hogan;William-Benjamin-Hogan,lodge,navajo,dwelling
szajda;
motivation;motivate,reason,incentive,motif,motive
rolethrow;
iii;3,three,i,ii,iv,a
lazers;
smileviva;
bethlyn;
vohrer;
coolof;
spencerone;
greatbut;
crackerjack;jimdandy,jimdandy,fiend
mushy;sentimental,granular,mush,soft,squishy,soft
stricken;laid-low,afflicted,struck,disabled,rubbed-out,incapacitated,removed,affected
smash;bankrupt,bang-up,smashingly,knock,overhead,break,crush,destroy,action,hit
daffy;nutty-as-fruitcake,nutty-as-fruitcake,daffodil,crazy,daffodil
irresponsibility;irresponsible,accountability
incarnation;embodiment,personification,incarnate,reincarnation,reincarnate,human,deity
alper;
escapade;adventure,convention,adventurous,daring
largest;
smartiecutie;
event;consequence,happening,occasion,prearranged,activity,social
seventy;70,septuagint,translator,lxx
torment;anguish,torture,curse,torture,badgering,vex,misery,anguish,physical
kitt;kittiwake
sprinkle;scattering,scatter,purify
seance;
goddont;
sample;sample-distribution,part,discrete,continuous
schlock;
postmortem;autopsy,succeeding
costar;star
appreciative;appreciation,gratitude,discriminating,grateful
sutton;place,braxton-county,england,greater-london,london
padrino;
corrosive;vitriolic,corrode,destroying,fret,tissue,corrosivity,sarcastic
presence;bearing,performer,part,immediate,present
sparkle;glitter,foam,glitter,spark,spark,scintillation,incandescent
dread;frightening,apprehension,fear,dreadlocks,dreaded,fear
hara;
nist;National-Institute-of-Standards-and-Technology,technology,of,and,national,standard
propagation;generation,wave,propagate,population,propaganda,transcription
trucka;
raquin;
deodatos;
dissonance;disagreement,note,discordant,assonance,consonance,combination
affectionately;affectionate
sidenude;
nuisance;bother,pain,annoyance,annoyance,harmful
noteight;
personification;person,object,abstract,personify,inanimate
imdb;movie,database,website,internet
chancethe;
occuped;
bratty;brattish,unruly,brat,impolite
therefore;consequently,so,consequently,cause,purpose,ergo
forcesthey;
freight;cargo,item,goods,emotional,transport,transport
medium;culture-medium,metier,intermediate,mediumly,aim,mean,mediate,space,cooked
abhay;
genteel;civilised,refined,proper,well-mannered,aristocratic,prudish
augustus;Gaius-Julius-Caesar-Octavianus,roman,emperor
perversion;pervert,perverse,sexual,deviance
anatomy;human-body,phytotomy,analysis,skeleton,zootomy
obtuse;dense,purblind,obtuse-angled,circuitous,dim-witted,obtund,triangle,simple
precaution;caution,misfortune,prevention,care,take-care,preparation
ick;ugh,ew,yuck,romantick,epidemick,gothick,organick,automatick
kindhearted;kind-hearted,kind,innately,character,disposition
wretchedly;wretched
judd;judd,judson
vegasif;
scandal;indignation,incident,discredit,person,reputation
nonactors;
shues;
exceed;surpass,surpass,outstrip,excessively,excessive,predominate,limit,better
cosmo;world,cosmopolitan,magazine,universe
dexter;breed,hardy,right,sinister,beef,dextral
oberons;
reynolds;Sir-Joshua-Reynolds,reynold
underhanded;underhand,underhand,shorthanded,underhandedly,understaffed,dishonest,sarcastic,hand,devious,crooked
factor;component,gene,factor-out,agent,divisor,resource,multiplication,division,addition,steward
stern;austere,unappeasable,strict,buttocks,Isaac-Stern,forbidding,aft,keel,animal
alicia;alice
partyingbeer;
rusty;rust-brown,out-of-practice,hoary,reddish,discolored,skill,rancid,shabby,rusted
bagdad;Baghdad
derange;perturb,unbalance,disrupt,distort,insane,deranged,inconvenience
preachyno;
mohr;
newsreellike;
ownthe;
twistsdevices;
pianist;orchestra,second-world-war,piano,radio
gostyukhin;
relation;relation-back,relative,sexual-intercourse,relative,family,relate,connection,uncle,member,relationship
wider;
rivoting;
hop;jump,plant,hip,dog-rose,surreptitiously
tenacious;retentive,pertinacious,object,tenacity,surface,adhesive,give-up,adhesive
charleton;
superficial;perfunctory,surficial,frivolous,outward,careless,surface,substance,dilettanteish,skin-deep,seeming,facile,sounding
twelth;
construct;concept,reconstruct,manufacture,construction,model,constructivist,concept,part
claire;pond,clare,oyster,enclosed,gather
thatif;
mesomeday;
chestnut;chestnut-tree,appendix:colors,chinquapin-oak,maroon,chromatic
undead;living-dead,animate,animate,mummy,life
georgie;
foam;shaving-foam,foam-at-mouth,bubbles,saliva
favouritethe;
perine;exine,spore,sporoderm
streetcar;tram,tram,trolley
tshirts;
botanist;botany,plant
schwarzenegger;exceptionally,muscular,bodybuilder
seat;induct,buttocks,chair,sitting,sit,place,car
wish;regard,will,precatory,longing,desire
saifs;
comfortable;well-situated,safe,easy,coverlet,bed,agreeable,sufficient,wide,comforted,easy,homelike
lttanny;
chronicle;history,record,event,written
brent;brant,wembley,thames,river,north,london
skullduggery;trickery,skulduggery
felissa;
statesjust;
wojciech;
heath;heather,land,tract,heathland
solidly;solid,firm
patronize;sponsor,superiority,protect,customer,regular,patron,matronize
cella;temple,ancient,portico
bake;broil,broil,roast,marijuana,casserole
clairvoyancethe;
chock;chock-a-block,block,wheel,line,filler,line
soloman;solomon
suchet;
offal;milling,carrion,husks,grain
clichs;
baleful;threatening,evil,ominous,portend,maleficent
cpo;petty,officer
sleevethe;
firth;John-Rupert-Firth,frith,idaho,scotland,shetland
onetrick;
ogle;amorous,usa,impertinently,covetous
superhero;superhuman,fantasy,literature,fiction,science
cheesy;chintzy,insincere,cheese,exaggerated,excessively,corny
biography;biographer,biographical,hagiography,story,autobiography
eskimo;Esquimau,husky,indigenous,inuit,arctic,breed
captain;master,ship,leader,rank,boat,boss
disasterinthesky;
ku;
kwouk;
wellspent;
lt;
disparage;vilipend,degrade,depreciate,slightingly
unforgettableits;
geniusthis;
disappointedhere;
exercise;exert,practice,drill,activity,gym,workout,fit,physical
spice;zest,spiciness,interest,plant,flavour,aromatic,season,herb
garb;dress,attire,aspect,guise,dress,style,middle-ages,external
hottotrot;
hatzisavvas;
sisterinlaw;
trait;quirk,interface,particularity,trend
mclaughlin;
wonderfulalso;
origin;beginning,lineage,point,axis,orient,muscle,genesis
blatantly;glaringly,blatant,blates,obvious,visible
nightbreed;
cinematographyis;
griftedshes;
skateboard;wheel
comedown;decline,lower,mellowed-out,condition,level,disappointment
bluewhite;
domestic;domesticated,national,domesticate,house,native,domesticated,interior,home-loving,home-style
harris;James-Thomas-Harris,Sir-Arthur-Travers-Harris,Townsend-Harris,Joel-Chandler-Harris,Benjamin-Harris,lewis-and-harris,scotland,cannabis
stephanie;stef
detonation;explosion,detonator,detonate,combustion,shock,engine
madecartoon;
price;monetary-value,Mary-Leontyne-Price,cost,tag,amount,value,money
lifetimefinally;
morland;
madeno;
roomif;
col;coloss,mountain-pass,hause,peaks,saddle
intensive;intensifier,intention,highly,great,intensity,intense
plight;betroth,pledge,predicament,plighted,fault,blame,promise
nitpick;nitpicky,split-hairs,lice,hair
intensify;escalate,intense,intensification
bulge;protrude,cask,genitals
funthe;
suburbia;suburb,characteristics,qualities,suburb
finale;stopping-point,chronological-conclusion-of-series-of-narrative-works,grand-end-of-something-especially-show-or-piece-of-music
